City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed,Country
0,Nikolskoye,59.7035,30.7861,33.26,80,90,6.71,RU
1,Qaanaaq,77.484,-69.3632,12.45,58,100,9.06,GL
2,Port Hedland,-20.3167,118.5667,78.8,83,9,13.8,AU
3,Lüderitz,-26.6481,15.1594,65.37,83,0,8.28,NA
4,Butaritari,3.0707,172.7902,81.14,77,54,14.38,KI
6,Yellowknife,62.456,-114.3525,-22.38,52,20,12.66,CA
7,Izumo,35.3667,132.7667,32.0,80,0,10.36,JP
8,Carnarvon,-24.8667,113.6333,73.4,83,40,12.66,AU
9,Vaini,-21.2,-175.2,80.6,69,75,3.44,TO
10,Departamento de Maldonado,-34.6667,-54.9167,78.39,69,40,18.41,UY
11,Saint Anthony,45.0205,-93.218,46.83,49,1,1.95,US
12,Hobart,-42.8794,147.3294,58.32,77,20,6.91,AU
13,‘Āhuimanu,21.4447,-157.8378,73.26,73,75,20.71,US
14,Busselton,-33.65,115.3333,59.27,87,19,1.01,AU
15,Arraial do Cabo,-22.9661,-42.0278,78.8,78,20,17.27,BR
16,Shadrinsk,56.0852,63.6335,5.94,94,100,13.29,RU
17,Albany,42.6001,-73.9662,42.78,69,68,1.01,US
19,Pevek,69.7008,170.3133,-26.14,94,7,3.6,RU
20,Bredasdorp,-34.5322,20.0403,69.8,78,54,11.5,ZA
21,Rikitea,-23.1203,-134.9692,76.59,75,16,17.45,PF
22,Leningradskiy,69.3833,178.4167,-13.11,96,100,7.52,RU
23,Saint Paul Harbor,57.79,-152.4072,39.2,87,90,3.44,US
24,Port Alfred,-33.5906,26.891,70.0,89,70,1.01,ZA
25,Guadix,37.2993,-3.1392,45.54,41,100,8.01,ES
26,Hong Kong,22.2855,114.1577,64.78,87,97,1.01,HK
27,Padang,-0.9492,100.3543,73.4,94,20,2.3,ID
28,Vieques,18.425,-65.8329,72.81,94,75,19.57,PR
29,Souillac,-20.5167,57.5167,78.8,78,40,10.36,MU
30,Mossamedes,-15.1961,12.1522,69.87,78,42,6.17,AO
31,Clyde River,70.4692,-68.5914,-11.2,84,1,6.91,CA
32,Okhotsk,59.3833,143.3,-10.17,83,0,5.77,RU
33,Cidreira,-30.1811,-50.2056,75.06,75,10,17.94,BR
34,Warangal,18.0,79.5833,73.6,18,0,6.02,IN
35,Kenai,60.5544,-151.2583,29.08,86,90,11.5,US
36,Longyearbyen,78.2186,15.6401,19.4,73,75,10.36,SJ
37,Goundi,9.3627,17.366,81.39,19,0,1.01,TD
38,Mataura,-46.1927,168.8643,60.01,94,100,3.0,NZ
39,Bauta,22.9828,-82.5464,86.0,42,20,11.5,CU
40,Kungurtug,50.5994,97.5228,-14.6,79,76,1.5,RU
41,Kavaratti,10.5669,72.642,81.54,75,0,10.74,IN
42,Luanda,-8.8368,13.2343,78.8,83,75,9.22,AO
43,Hermanus,-34.4187,19.2345,69.01,79,13,4.0,ZA
44,Kemijärvi,66.7131,27.4306,24.42,95,100,6.55,FI
45,Matara,5.9485,80.5353,74.1,87,12,2.86,LK
46,Bundaberg,-24.85,152.35,78.78,88,40,6.91,AU
47,Wakkanai,45.4094,141.6739,32.74,91,100,37.4,JP
48,Noumea,-22.2763,166.4572,80.22,61,0,2.3,NC
49,Luebo,-5.35,21.4167,73.38,83,79,1.34,CD
50,Agüimes,27.9054,-15.4461,60.57,59,20,11.5,ES
51,Kang,-23.6752,22.7876,68.22,67,0,6.96,BW
52,Bembèrèkè,10.2283,2.6634,76.24,17,13,4.59,BJ
53,Raudeberg,61.9875,5.1352,46.0,90,58,20.36,NO
54,Lagoa,39.05,-27.9833,59.05,86,94,16.06,PT
55,Saint-Philippe,-21.3585,55.7679,75.13,73,75,4.61,RE
56,Hutchinson,38.0608,-97.9298,58.14,82,90,21.85,US
57,Bluff,-46.6,168.3333,60.01,94,99,3.0,NZ
58,Tevriz,57.509,72.4042,-22.09,96,78,5.64,RU
59,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,40,4.61,CA
60,Umm Kaddadah,13.6017,26.6876,70.47,20,3,12.26,SD
61,Avarua,-21.2078,-159.775,80.6,89,75,23.02,CK
62,Severo-Kuril'sk,50.6789,156.125,24.73,94,93,28.41,RU
63,Yasothon,15.75,104.1333,78.01,67,67,9.31,TH
64,La Palma,33.8464,-118.0467,66.67,63,1,11.5,US
65,Necochea,-38.5473,-58.7368,87.01,36,0,11.99,AR
66,Manggar,-2.8833,108.2667,76.71,81,99,4.43,ID
67,Julfa,38.9558,45.6308,32.0,69,0,9.22,AZ
68,Punta Arenas,-53.15,-70.9167,78.8,29,0,14.97,CL
69,San Policarpo,12.1791,125.5072,79.63,85,35,12.73,PH
70,Ola,59.5833,151.2833,-2.58,83,87,9.95,RU
71,Port Lincoln,-34.7333,135.8667,62.51,78,57,7.9,AU
72,Lorengau,-2.0226,147.2712,82.54,79,86,9.93,PG
73,Kapaa,22.0752,-159.319,75.29,69,75,19.57,US
74,Saint George,37.1041,-113.5841,51.53,12,1,9.22,US
75,Hithadhoo,-0.6,73.0833,82.56,63,89,6.51,MV
76,Ilulissat,69.2167,-51.1,12.2,79,75,11.5,GL
77,Talaya,61.3833,152.75,-27.83,82,79,1.14,RU
78,Mar del Plata,-38.0023,-57.5575,70.11,88,75,18.41,AR
79,Mount Gambier,-37.8333,140.7667,50.0,93,100,3.11,AU
80,Masingbi,8.7833,-11.95,79.97,70,1,4.5,SL
81,Halifax,44.6453,-63.5724,33.26,75,99,18.41,CA
82,Ugoofaaru,5.6667,73.0,81.91,72,27,4.9,MV
83,Tekeli,44.83,78.8239,15.84,86,100,8.3,KZ
84,Šipkovica,42.035,20.9156,47.32,50,40,17.27,MK
85,Andenes,69.3143,16.1194,41.34,75,90,20.71,NO
86,Yar-Sale,66.8333,70.8333,-15.47,89,4,8.93,RU
87,Geraldton,-28.7667,114.6,62.6,82,0,9.28,AU
88,Cayenne,4.9333,-52.3333,80.6,78,75,11.5,GF
89,Cherskiy,68.75,161.3,-27.94,85,52,0.98,RU
90,Tsumeb,-19.2333,17.7167,66.2,82,3,5.75,NA
91,Upernavik,72.7868,-56.1549,6.01,93,100,24.16,GL
92,Kŭlob,37.9145,69.783,28.4,93,0,4.47,TJ
93,Uzunovo,54.5386,38.6173,18.61,97,79,6.93,RU
94,Mangai,-4.05,19.5333,72.9,88,67,1.74,CD
95,Pisco,-13.7,-76.2167,75.11,78,0,6.91,PE
96,Hamilton,39.1834,-84.5333,58.41,51,75,3.22,US
97,Cedar City,37.6775,-113.0619,33.46,21,90,12.59,US
98,Ushuaia,-54.8,-68.3,78.8,19,0,13.8,AR
99,Port Elizabeth,-33.918,25.5701,69.8,83,90,12.66,ZA
100,Atuona,-9.8,-139.0333,80.74,76,3,13.22,PF
101,Vardø,70.3705,31.1107,30.29,96,100,15.68,NO
102,Hilo,19.7297,-155.09,68.76,83,90,6.33,US
103,Al Bardīyah,31.7561,25.0865,57.33,77,0,10.22,LY
104,Whitianga,-36.8333,175.7,69.98,63,82,7.54,NZ
105,High Level,58.5169,-117.136,1.4,60,20,3.44,CA
106,Champerico,14.3,-91.9167,89.6,62,40,11.5,GT
107,Winneba,5.3511,-0.6231,82.4,83,20,5.75,GH
108,Rawlins,41.7911,-107.2387,26.6,50,90,23.02,US
109,Cape Town,-33.9258,18.4232,71.13,64,0,12.66,ZA
110,Carson City,39.1638,-119.7674,42.35,22,1,16.11,US
111,Kifrī,34.6959,44.9661,51.21,49,0,2.24,IQ
112,Arlit,18.7369,7.3853,74.01,17,3,14.16,NE
113,Havøysund,70.9963,24.6622,35.6,93,75,9.22,NO
114,Vila,42.0304,-8.1588,51.01,79,95,3.0,PT
115,Olafsvik,64.8945,-23.7142,39.69,77,90,39.3,IS
116,Salalah,17.0151,54.0924,75.2,69,0,2.3,OM
117,Ribeira Grande,38.5167,-28.7,60.8,94,75,11.5,PT
118,Puerto Ayora,-0.7393,-90.3518,81.52,78,40,11.5,EC
119,Ponta do Sol,32.6667,-17.1,51.93,66,42,1.01,PT
120,Naryan-Mar,67.6713,53.087,5.02,94,100,11.1,RU
121,Eureka,40.8021,-124.1637,54.07,64,30,11.99,US
122,Ancud,-41.8697,-73.8203,62.33,72,90,6.91,CL
123,Dawlatabad,36.4141,64.9053,34.88,80,0,7.38,AF
124,Faanui,-16.4833,-151.75,83.25,70,20,9.22,PF
125,Kalianget,-7.05,113.9333,78.85,79,98,2.71,ID
126,New Norfolk,-42.7826,147.0587,57.18,75,57,1.23,AU
127,Bethel,41.3712,-73.414,44.89,92,100,4.0,US
128,Abadan,38.0507,58.2056,35.6,51,0,2.3,TM
129,Mananara,-16.1667,49.7667,76.15,92,26,4.36,MG
130,Northam,51.0333,-4.2167,40.71,72,1,1.99,GB
131,Narsaq,60.9167,-46.05,23.0,54,0,25.32,GL
132,Kruisfontein,-34.0033,24.7314,70.0,82,44,1.99,ZA
133,Shalya,57.2471,58.7298,0.19,91,100,11.01,RU
134,Marsh Harbour,26.5412,-77.0636,76.14,80,21,16.15,BS
135,Honningsvåg,70.9821,25.9704,32.36,98,100,16.91,NO
136,Khatanga,71.9667,102.5,-36.89,90,12,1.88,RU
137,Umluj,25.0213,37.2685,70.54,49,0,4.97,SA
138,Bukama,-9.2,25.85,69.53,94,89,1.23,CD
139,Pundaguitan,6.3711,126.1689,81.0,79,100,6.02,PH
140,Nanortalik,60.1432,-45.2371,21.78,89,57,19.98,GL
141,Flinders,-34.5833,150.8552,69.01,88,26,3.0,AU
142,Barrow,71.2906,-156.7887,-14.8,70,90,6.91,US
143,Marawi,7.9986,124.2928,73.99,89,63,5.01,PH
144,Careiro da Várzea,-3.2003,-59.8119,83.28,78,40,4.61,BR
145,Huarmey,-10.0681,-78.1522,76.17,60,27,7.18,PE
146,Torbay,47.6666,-52.7314,23.18,50,75,10.36,CA
147,Aklavik,68.2191,-135.0107,-23.8,69,1,6.91,CA
148,Bariloche,-41.1456,-71.3082,79.79,22,75,21.85,AR
149,Waingapu,-9.6567,120.2641,76.75,82,100,6.38,ID
150,Teya,60.3778,92.6267,-15.79,95,100,5.99,RU
151,Beira,-19.8436,34.8389,78.8,83,90,16.11,MZ
152,Provideniya,64.3833,-173.3,-2.2,65,0,4.47,RU
153,Finnsnes,69.2296,17.9811,39.2,87,90,8.05,NO
154,Pauini,-7.7136,-66.9764,80.91,82,98,0.81,BR
155,Caucaia,-3.7361,-38.6531,82.2,74,20,6.91,BR
156,Dixon,38.4455,-121.8233,63.07,22,1,14.97,US
157,Chui,-33.6971,-53.4616,71.91,79,0,12.68,UY
158,Port Hardy,50.6996,-127.4199,39.2,87,90,6.91,CA
159,Lebu,-37.6167,-73.65,60.33,77,13,18.66,CL
160,Okato,-39.2,173.8833,66.47,76,99,4.0,NZ
161,Iquique,-20.2208,-70.1431,75.2,64,0,17.27,CL
162,Boddam,57.4667,-1.7833,40.84,93,0,2.3,GB
163,Katsuura,35.1333,140.3,36.34,55,20,8.05,JP
164,Kahului,20.8947,-156.47,73.36,57,75,24.16,US
165,Itoman,26.1247,127.6694,67.57,83,40,9.22,JP
166,Korla,41.7597,86.1469,29.08,77,100,6.08,CN
167,Samarai,-10.6167,150.6667,82.09,79,93,12.01,PG
168,Ubari,26.5921,12.7805,53.6,42,0,7.14,LY
169,Elliot Lake,46.3834,-82.6331,39.2,70,1,10.36,CA
170,Castro,-24.7911,-50.0119,63.3,93,79,11.25,BR
171,Kamaishi,39.2667,141.8833,29.97,87,0,5.61,JP
172,Gospić,44.5461,15.3747,50.0,40,0,14.97,HR
173,Faya,18.3851,42.4509,56.3,54,0,8.05,SA
174,Beloha,-25.1667,45.05,74.44,93,100,3.58,MG
175,Mwinilunga,-11.7358,24.4293,62.17,95,52,2.91,ZM
176,Kaitangata,-46.2817,169.8464,61.54,83,98,4.12,NZ
177,George Town,5.4112,100.3354,75.51,88,20,2.3,MY
178,Kavieng,-2.5744,150.7967,82.94,77,100,9.06,PG
179,Khokhlovo,59.1492,37.3998,23.0,93,90,4.29,RU
180,Vostok,46.4856,135.8833,15.76,96,100,7.27,RU
181,Deer Lake,49.1667,-57.4316,26.31,68,75,18.41,CA
182,Grand-Lahou,5.1367,-5.0242,79.12,86,93,8.08,CI
183,Saint-Pierre,-21.3393,55.4781,75.29,73,75,4.61,RE
184,Bambous Virieux,-20.3428,57.7575,79.38,78,40,10.36,MU
185,Khovd,48.0056,91.6419,4.17,61,3,1.86,MN
186,Klaksvík,62.2266,-6.589,46.4,87,90,13.8,FO
187,Darhan,49.4867,105.9228,-7.51,84,51,0.67,MN
188,Dingle,10.9995,122.6711,75.87,90,0,5.75,PH
189,Tungor,53.3808,142.9564,5.45,95,100,12.93,RU
190,Broken Hill,-31.95,141.4333,71.6,28,0,11.5,AU
191,Jamestown,42.097,-79.2353,36.95,89,90,9.62,US
192,Aldan,58.6031,125.3894,-14.17,89,100,11.99,RU
193,Port-Gentil,-0.7193,8.7815,80.6,83,20,6.91,GA
194,Baruun-Urt,46.6806,113.2792,-5.84,87,22,7.38,MN
